"inspection_id","dba_name","aka_name","license_","facility_type","risk","address","city","state","zip","inspection_date","inspection_type","results","latitude","longitude"
"52234","Cafe 608","Cafe 608","2013328","Restaurant","Risk 1 (High)","608 W BARRY AVE ","CHICAGO","IL","60657","2010-01-04T00:00:00.000","License Re-Inspection","Pass","41.938006880423615","-87.6447545707008"
"67732","WOLCOTT'S","TROQUET","1992039","Restaurant","Risk 1 (High)","1834 W MONTROSE AVE ","CHICAGO","IL","60613","2010-01-04T00:00:00.000","License Re-Inspection","Pass","41.961605669949854","-87.67596676683779"
"67733","WOLCOTT'S","TROQUET","1992040","Restaurant","Risk 1 (High)","1834 W MONTROSE AVE ","CHICAGO","IL","60613","2010-01-04T00:00:00.000","License Re-Inspection","Pass","41.961605669949854","-87.67596676683779"
"67738","MICHAEL'S ON MAIN CAFE","MICHAEL'S ON MAIN CAFE","2008948","Restaurant","Risk 1 (High)","8750 W BRYN WAWR AVE ","CHICAGO","IL","60631","2010-01-04T00:00:00.000","License","Fail",,
"67757","DUNKIN DONUTS/BASKIN-ROBBINS","DUNKIN DONUTS/BASKIN-ROBBINS","1380279","Restaurant","Risk 2 (Medium)","100 W RANDOLPH ST ","CHICAGO","IL","60601","2010-01-04T00:00:00.000","Tag Removal","Pass","41.88458626715456","-87.63101044588599"
"70269","mr.daniel's","mr.daniel's","1899292","Restaurant","Risk 1 (High)","5645 W BELMONT AVE ","CHICAGO","IL","60634","2010-01-04T00:00:00.000","License Re-Inspection","Pass","41.93844282365204","-87.76831838068422"
"104236","TEMPO CAFE","TEMPO CAFE","80916","Restaurant","Risk 1 (High)","6 E CHESTNUT ST ","CHICAGO","IL","60611","2010-01-04T00:00:00.000","Canvass","Fail","41.89843137207629","-87.6280091630558"
"44247","EAT A PITA","EAT A PITA","1222441","Restaurant","Risk 1 (High)","3155 N HALSTED ST","CHICAGO","IL","60657","2010-01-05T00:00:00.000","Complaint","Pass","41.93944115701468","-87.64910277148812"
"54212","DONS PIZZA & GRILL","DONS PIZZA & GRILL","1992130","Restaurant","Risk 1 (High)","5915 W DIVISION ST ","CHICAGO","IL","60651","2010-01-05T00:00:00.000","Complaint","Pass","41.90191358699433","-87.77363179265902"
"54213","SUNSET LIQUORS","SUNSET LIQUORS","13541","Grocery Store","Risk 3 (Low)","5921 W DIVISION ST ","CHICAGO","IL","60651","2010-01-05T00:00:00.000","Canvass","Pass","41.90190966343413","-87.77390476810488"
"58225","WHOLE FOODS MARKET","WHOLE FOODS MARKET","1933690","Grocery Store","Risk 1 (High)","1550 N KINGSBURY ST ","CHICAGO","IL","60642","2010-01-05T00:00:00.000","Complaint","Pass","41.90939878780941","-87.65305069789407"
"58226","KIKKA- KINGSBURY","KIKKA- KINGSBURY","1968898","Restaurant","Risk 1 (High)","1550 N KINGSBURY ST ","CHICAGO","IL","60642","2010-01-05T00:00:00.000","Canvass","Pass","41.90939878780941","-87.65305069789407"
"60242","JEWEL FOOD STORE #3170","JEWEL / OSCO","1366","Grocery Store","Risk 1 (High)","5320 S PULASKI RD ","CHICAGO","IL","60632","2010-01-05T00:00:00.000","Canvass","Pass","41.796197591415535","-87.72339188344549"
"60243","ANGELO'S STUFFED PIZZA CORP","ANGELO'S STUFFED PIZZA","1045634","Restaurant","Risk 1 (High)","4850 S PULASKI RD ","CHICAGO","IL","60632","2010-01-05T00:00:00.000","Canvass","Pass","41.80452511221081","-87.72363360473794"
"60244","ZARAGOZA RESTAURANT","ZARAGOZA RESTAURANT","1904141","Restaurant","Risk 1 (High)","4852 S PULASKI RD ","CHICAGO","IL","60632","2010-01-05T00:00:00.000","Canvass","Pass","41.80446825925762","-87.72363270043019"
"67736","MONTICELLO FOOD MART, INC","MONTICELLO FOOD MART, INC","2013259","Grocery Store","Risk 2 (Medium)","1000 N MONTICELLO AVE ","CHICAGO","IL","60651","2010-01-05T00:00:00.000","License","Fail","41.89918622853627","-87.71780427165159"
"67739","EL TACONAZO RESTAURANT","EL TACONAZO RESTAURANT","1964480","Restaurant","Risk 1 (High)","5849 S KEDZIE AVE ","CHICAGO","IL","60629","2010-01-05T00:00:00.000","Short Form Complaint","Pass","41.786622957358595","-87.70321119979786"
"67741","CITGO","CITGO","2013296","Grocery Store","Risk 2 (Medium)","11500 S Halsted ST ","CHICAGO","IL","60628","2010-01-05T00:00:00.000","License","Fail","41.68502625630698","-87.64229736696258"
"67743","EL MILAGRO","EL MILAGRO","43519","Restaurant","Risk 1 (High)","3050-3052 W 26TH ST ","CHICAGO","IL","60623","2010-01-05T00:00:00.000","Canvass","Pass","41.844686619118384","-87.70218762267689"
"67744","GOLDEN CROWN RESTAURANT","GOLDEN CROWN RESTAURANT","2013539","Restaurant","Risk 1 (High)","2341 N NARRAGANSETT AVE","CHICAGO","IL","60639","2010-01-05T00:00:00.000","License","Fail","41.923097678207924","-87.78527865943148"
"67746","NOAH FOOD GROUP, INC","NOAH FOOD GROUP, INC","1980401","Grocery Store","Risk 3 (Low)","4959 W AUGUSTA BLVD ","CHICAGO","IL","60651","2010-01-05T00:00:00.000","Complaint","Pass w/ Conditions","41.898523624477036","-87.75066658623363"
"67747","EL MILAGRO","EL MILAGRO","43513","Grocery Store","Risk 2 (Medium)","3048 W 26TH ST ","CHICAGO","IL","60623","2010-01-05T00:00:00.000","Complaint","Pass","41.84468732736255","-87.70210293602436"
"67748","LITTLE LEARNING ACADEMY","LITTLE LEARNING ACADEMY","1974787","Daycare (2 - 6 Years)","Risk 1 (High)","7039 S WENTWORTH ST ","CHICAGO","IL","60621","2010-01-05T00:00:00.000","License","Fail","41.76609247175032","-87.62964151748226"
"67749","COCHIAROS PIZZA #2","COCHIAROS PIZZA #2","1044752","Restaurant","Risk 1 (High)","4741 W FULLERTON AVE ","CHICAGO","IL","60639","2010-01-05T00:00:00.000","Complaint","Pass","41.92414063497689","-87.74552933864975"
"67753","WABASH PANTRY","WABASH PANTRY","2008633","Grocery Store","Risk 3 (Low)","203 N WABASH AVE ","CHICAGO","IL","60601","2010-01-05T00:00:00.000","License Re-Inspection","Pass","41.885828292802344","-87.62613826248786"
"67754","ABE'S IN & OUT","ABE'S IN & OUT","1948539","Grocery Store","Risk 2 (Medium)","3661 W OGDEN AVE ","CHICAGO","IL","60623","2010-01-05T00:00:00.000","Complaint","Pass","41.85357266001331","-87.71725428906686"
"67756","LAGNIAPPE-A CREOLE CAJUN JOYNT","LAGNIAPPE-A CREOLE CAJUN JOYNT","1986108","RIVERWALK CAFE","Risk 2 (Medium)","55 W RIVERWALK SOUTH ","CHICAGO","IL","60601","2010-01-05T00:00:00.000","License Re-Inspection","Fail","41.88695199839048","-87.62987459293426"
"67758","SU TAQUERIA EL GALLO BRAVO #4","SU TAQUERIA EL GALLO BRAVO #4","1766968","Restaurant","Risk 1 (High)","5650 W GRAND AVE ","CHICAGO","IL","60639","2010-01-05T00:00:00.000","Complaint","Fail","41.91922446447527","-87.76773430251839"
"67759","FINLEY MAHONY'S","FINLEY MAHONY'S","1801271","Restaurant","Risk 1 (High)","3701 N BROADWAY","CHICAGO","IL","60613","2010-01-05T00:00:00.000","Canvass","Pass w/ Conditions","41.94924954780584","-87.64825980109582"
"67760","MC INTOSH'S","MC INTOSH'S","1648623",,"Risk 1 (High)","748 W 61ST ST ","CHICAGO","IL","60621","2010-01-05T00:00:00.000","Out of Business","Fail","41.783502980089736","-87.64438637632864"
"67848","SAFAH FOOD & LIQUOR INC","SAFAH FOOD & LIQUOR INC","14103","Grocery Store","Risk 3 (Low)","7105 S RACINE AVE","CHICAGO","IL","60636","2010-01-05T00:00:00.000","Canvass Re-Inspection","Pass","41.76489640024705","-87.65396483351302"
"68250","Tots Express Learning Center",,"2002536","Daycare (2 - 6 Years)","Risk 1 (High)","1705-07 E 87th ST FL ","CHICAGO","IL","60617","2010-01-05T00:00:00.000","License Re-Inspection","Pass","41.736848843624756","-87.5824879378845"
"68251","CVS PHARMACY #2935","CVS PHARMACY #2935","1998048","Grocery Store","Risk 3 (Low)","8712 S STONY ISLAND AVE ","CHICAGO","IL","60617","2010-01-05T00:00:00.000","License Re-Inspection","Pass","41.736481612062526","-87.58578401346767"
"68252","LEONAS","LEONAS","1491933","Restaurant","Risk 1 (High)","9156 S STONY ISLAND AVE ","CHICAGO","IL","60617","2010-01-05T00:00:00.000","Short Form Complaint","Pass","41.72795237840198","-87.58558036137349"
"70271","REGGIO'S PIZZA EXPRESS","REGGIO'S PIZZA EXPRESS (T3-HK FOOD COURT)","1120626","Restaurant","Risk 1 (High)","11601 W TOUHY AVE ","CHICAGO","IL","60666","2010-01-05T00:00:00.000","Suspected Food Poisoning","Pass","42.00875076599798","-87.90687413400109"
"70272","THE DOGHOUSE","THE DOGHOUSE","1681450",,"Risk 1 (High)","11601 W TOUHY AVE ","CHICAGO","IL","60666","2010-01-05T00:00:00.000","Out of Business","Pass","42.00875076599798","-87.90687413400109"
"70273","THE GREAT AMERICAN BAGEL","THE GREAT AMERICAN BAGEL (T3-H10)","1879164","Restaurant","Risk 1 (High)","11601 W TOUHY AVE ","CHICAGO","IL","60666","2010-01-05T00:00:00.000","Canvass","Fail","42.00875076599798","-87.90687413400109"
"74256","ACE'S SOUL FOOD CAFE, INC.","ACE'S SOUL FOOD CAFE, INC.","1904903","Restaurant","Risk 1 (High)","432 E 63RD ST ","CHICAGO","IL","60637","2010-01-05T00:00:00.000","Short Form Complaint","Pass","41.78037142154735","-87.61435452532793"
"74257","WALGREENS #1417","WALGREENS #1417","18584","Grocery Store","Risk 3 (Low)","1931 W CERMAK RD ","CHICAGO","IL","60608","2010-01-05T00:00:00.000","Complaint","Pass","41.852083695533146","-87.67465101573735"
"74258","MAKIA FOOD","MAKIA FOOD","2009488",,"Risk 3 (Low)","2458 S CALIFORNIA AVE ","CHICAGO","IL","60608","2010-01-05T00:00:00.000","License Re-Inspection","Pass","41.84651642859939","-87.69542345938576"
"78238","REBECCA K. CROWN CHLD. DEV. CT","REBECCA K. CROWN CHLD. DEV. CT","25814","Daycare Above and Under 2 Years","Risk 1 (High)","7601 S PHILLIPS AVE ","CHICAGO","IL","60649","2010-01-05T00:00:00.000","License","Pass","41.757098777020786","-87.5649784656571"
"78239","Yahs Cuisine",,"2004254","Restaurant","Risk 1 (High)","2347 E 75TH ST ","CHICAGO","IL","60649","2010-01-05T00:00:00.000","License Re-Inspection","Fail","41.75887155280274","-87.56693763454342"
"78240","OBAMA FOOD MART",,"2004238","Grocery Store","Risk 3 (Low)","1800 E 79TH ST ","CHICAGO","IL","60649","2010-01-05T00:00:00.000","License","Fail","41.75165523778611","-87.58082842408824"
"80207","Delhi Darbar Kabob House","Delhi Darbar Kabob House","2013590","Restaurant","Risk 1 (High)","3010 W Devon AVE","CHICAGO","IL","60659","2010-01-05T00:00:00.000","License","Fail","41.99757606083328","-87.70500110804562"
"80208","Dunkin Donuts","Dunkin Donuts","2013340","Restaurant","Risk 1 (High)","2800 W Lawrence AVE BLDG","CHICAGO","IL","60625","2010-01-05T00:00:00.000","License","Fail","41.96864140759437","-87.6987246165967"
"96246","THE LEARNING TREE II","THE LEARNING TREE II","1869843","Daycare Above and Under 2 Years","Risk 1 (High)","8233 S PULASKI RD ","CHICAGO","IL","60652","2010-01-05T00:00:00.000","License","Pass","41.74299303153854","-87.72155821260196"
"98313","WHIPPLE STORE","WHIPPLE STORE","2009114","Grocery Store","Risk 3 (Low)","4301 N WHIPPLE ST ","CHICAGO","IL","60618","2010-01-05T00:00:00.000","License","Fail","41.95948879539263","-87.7043798812887"
"98314","THRESHOLD SCHOOL","THRESHOLD SCHOOL","2076658","School","Risk 1 (High)","4219 N LINCOLN AVE ","CHICAGO","IL","60618","2010-01-05T00:00:00.000","Canvass","Pass","41.95838817038278","-87.68155929632958"
"98315","3811 PIRAMID INC","BORINQUEN LOUNGE","71458","Restaurant","Risk 1 (High)","3811 N WESTERN AVE ","CHICAGO","IL","60618","2010-01-05T00:00:00.000","Suspected Food Poisoning","Pass","41.95071668512338","-87.68822442221024"
"114254","State Street Pizza Company","State Street Pizza Company","2009348","Restaurant","Risk 1 (High)","400 N STATE ST ","CHICAGO","IL","60654","2010-01-05T00:00:00.000","License Re-Inspection","Pass","41.88931871105875","-87.62815266789968"
"114255","EINSTEIN BROS. BAGELS #3505","EINSTEIN BROS BAGELS","1904661","Restaurant","Risk 1 (High)","400 N DEARBORN ST","CHICAGO","IL","60610","2010-01-05T00:00:00.000","Complaint","Pass","41.88926952817214","-87.62973533104446"
"114256","STARBUCKS COFFEE #13710","STARBUCKS","1843207","Restaurant","Risk 2 (Medium)","30 W ERIE ST ","CHICAGO","IL","60654","2010-01-05T00:00:00.000","Canvass","Pass","41.89416541426283","-87.62938902777785"
"114257","SULLIVAN'S STEAKHOUSE","SULLIVAN'S STEAKHOUSE","68917","Restaurant","Risk 1 (High)","415 N DEARBORN ST","CHICAGO","IL","60654","2010-01-05T00:00:00.000","Canvass","Pass","41.88978308717147","-87.62945360013103"
"118296","FAIRPLAY FINER FOOD","FAIRPLAY FINER FOOD","10940","Grocery Store","Risk 1 (High)","2200 S WESTERN AVE ","CHICAGO","IL","60608","2010-01-05T00:00:00.000","Complaint","Pass","41.85198383957328","-87.68578570420526"
"118297","MAXWELL STREET DEPOT INC.","MAXWELL STREET DEPOT INC.","18135","Restaurant","Risk 2 (Medium)","411 W 31ST ST ","CHICAGO","IL","60616","2010-01-05T00:00:00.000","Complaint","Fail","41.838059998694526","-87.63665958710676"
"118298","FERRO'S","FERRO'S","12342","Restaurant","Risk 1 (High)","200 W 31ST ST ","CHICAGO","IL","60616","2010-01-05T00:00:00.000","Complaint","Pass","41.838345000206886","-87.63174087271551"
"120270","7-ELEVEN #32889B","7-ELEVEN","1766212","Grocery Store","Risk 2 (Medium)","48 N WELLS ST ","CHICAGO","IL","60606","2010-01-05T00:00:00.000","Complaint","Pass","41.883131775767836","-87.63400723959279"
"120271","IZUMI SUSHI BAR & RESTAURANT","IZUMI SUSHI BAR & RESTAURANT","1357260","Restaurant","Risk 1 (High)","731 W RANDOLPH ST ","CHICAGO","IL","60661","2010-01-05T00:00:00.000","Complaint","Fail","41.884300945480696","-87.64695273829979"
"120272","BLUE PLATE CATERING LTD.","BLUE PLATE CATERING LTD.","36436","Catering","Risk 1 (High)","1061 W VAN BUREN ST ","CHICAGO","IL","60607","2010-01-05T00:00:00.000","Consultation","Pass","41.87645614541188","-87.65429579519606"
"124256","FERNANDO'S MEXICAN GRILL & PIZZA","FERNANDO'S MEXICAN GRILL & PIZZA","1915768","Restaurant","Risk 1 (High)","7148 N HARLEM AVE ","CHICAGO","IL","60631","2010-01-05T00:00:00.000","Canvass","Pass","42.011357386595954","-87.80678841267961"
"124257","LIDO, INC.","LIDO BANQUETS","17145","Restaurant","Risk 1 (High)","5504 N MILWAUKEE AVE ","CHICAGO","IL","60630","2010-01-05T00:00:00.000","Canvass","Pass","41.98174513647886","-87.7734651611067"
